part_number,customer,material_type,complexity,primary_machine,std_labor_hrs,unit_price,requires_welding
P-1000,Customer B,Stainless 304,Low,M03,2.03,234.4,True
P-1001,Customer A,16ga Steel,Medium,M07,1.02,71.66,True
P-1002,Customer E,Aluminum 5052,Medium,M01,4.78,33.62,False
P-1003,Customer D,"1/4"" Plate",Medium,M04,4.63,505.22,False
P-1004,Customer D,"3/8"" Plate",Medium,M06,4.61,535.77,True
P-1005,Customer C,16ga Steel,Low,M07,3.09,21.36,False
P-1006,Customer B,"1/4"" Plate",Medium,M02,2.57,641.44,False
P-1007,Customer B,16ga Steel,Medium,M02,0.78,67.1,True
P-1008,Customer G,"3/8"" Plate",Low,M05,1.97,74.65,False
P-1009,Customer A,12ga Steel,Medium,M05,4.93,42.8,False
P-1010,Customer A,Stainless 304,Low,M03,4.08,307.43,True
P-1011,Customer B,Aluminum 5052,High,M05,1.39,470.03,True
P-1012,Customer D,"3/8"" Plate",Medium,M04,1.39,261.45,False
P-1013,Customer D,Stainless 304,Low,M02,2.94,444.59,True
P-1014,Customer A,12ga Steel,Low,M04,0.62,492.22,False
P-1015,Customer D,"3/8"" Plate",Medium,M07,3.73,655.17,False
P-1016,Customer G,14ga Steel,Low,M05,4.13,795.91,False
P-1017,Customer D,Aluminum 5052,High,M01,4.9,524.95,False
P-1018,Customer H,16ga Steel,High,M07,2.78,230.05,True
P-1019,Customer E,16ga Steel,Medium,M06,0.85,433.58,True
P-1020,Customer A,Aluminum 5052,Low,M06,3.38,375.25,False
P-1021,Customer C,14ga Steel,High,M03,4.75,98.48,False
P-1022,Customer G,Stainless 304,Medium,M03,1.03,598.2,False
P-1023,Customer F,12ga Steel,Medium,M02,2.76,328.55,True
P-1024,Customer E,16ga Steel,Low,M01,3.13,378.83,False
P-1025,Customer C,Stainless 304,Medium,M06,4.83,779.5,False
P-1026,Customer D,14ga Steel,High,M06,4.66,62.94,False
P-1027,Customer F,Stainless 304,Medium,M07,3.84,593.31,False
P-1028,Customer B,16ga Steel,Low,M06,3.53,586.87,False
P-1029,Customer B,"1/4"" Plate",Low,M04,3.64,68.64,True
P-1030,Customer G,12ga Steel,Medium,M01,2.15,659.47,True
P-1031,Customer B,"1/4"" Plate",Medium,M05,3.44,723.52,True
P-1032,Customer F,Aluminum 5052,Medium,M06,2.02,111.7,False
P-1033,Customer F,Stainless 304,Medium,M04,4.52,184.56,True
P-1034,Customer E,12ga Steel,Medium,M02,2.39,489.61,False
